"","target","BlkType","response","rt","sub","error"
"1","Absent","1:3",1,1.51951926109905,"aleg",FALSE
"2","Absent","1:3",1,0.743453095527002,"aleg",FALSE
"3","Absent","1:3",1,0.732964597551472,"aleg",FALSE
"4","Absent","1:3",1,0.60482890856656,"aleg",FALSE
"5","Absent","1:3",1,0.615443198277717,"aleg",FALSE
"6","Absent","1:3",1,0.468566325967913,"aleg",FALSE
"7","Absent","1:3",1,0.457810519612394,"aleg",FALSE
"8","Absent","1:3",1,0.401864999374084,"aleg",FALSE
"9","Absent","1:3",1,0.37500590702075,"aleg",FALSE
"10","Absent","1:3",1,0.490024110104059,"aleg",FALSE
"11","Absent","1:3",1,0.452566862704771,"aleg",FALSE
"12","Absent","1:3",1,0.444219673781845,"aleg",FALSE
"13","Present","1:3",3,0.572515547804869,"aleg",FALSE
"14","Absent","1:3",1,0.484267583642577,"aleg",FALSE
"15","Absent","1:3",1,0.468342335323541,"aleg",FALSE
"16","Absent","1:3",1,0.617575567854146,"aleg",FALSE
"17","Present","1:3",3,0.502902177435317,"aleg",FALSE
"18","Absent","1:3",1,0.56159613174168,"aleg",FALSE
"19","Present","1:3",3,0.46559401403465,"aleg",FALSE
"20","Present","1:3",3,0.521356947912864,"aleg",FALSE
"21","Present","1:3",3,0.491820377177646,"aleg",FALSE
"22","Absent","1:3",1,0.454689743954077,"aleg",FALSE
"23","Present","1:3",3,0.443798634976702,"aleg",FALSE
"24","Present","1:3",3,0.419722264734446,"aleg",FALSE
"25","Absent","1:3",1,0.50767927488414,"aleg",FALSE
"26","Absent","1:3",1,0.483608111189824,"aleg",FALSE
"27","Present","1:3",3,0.51295182531976,"aleg",FALSE
"28","Present","1:3",3,0.464775698592348,"aleg",FALSE
"29","Absent","1:3",1,0.496792567979355,"aleg",FALSE
"30","Absent","1:3",1,0.49702229898503,"aleg",FALSE
"31","Present","1:3",3,0.486032179107497,"aleg",FALSE
"32","Absent","1:3",1,0.669977495510466,"aleg",FALSE
"33","Present","1:3",3,0.440724808488085,"aleg",FALSE
"34","Absent","1:3",1,0.46219484023095,"aleg",FALSE
"35","Present","1:3",3,0.459497937847118,"aleg",FALSE
"36","Absent","1:3",1,0.507469253581803,"aleg",FALSE
"37","Absent","1:3",1,0.435316402823446,"aleg",FALSE
"38","Present","1:3",3,0.483044251284809,"aleg",FALSE
"39","Absent","1:3",1,0.427209662502719,"aleg",FALSE
"40","Absent","1:3",1,0.397706252037096,"aleg",FALSE
"41","Present","1:3",3,1.01020078401052,"aleg",FALSE
"42","Absent","1:3",1,0.572937853472467,"aleg",FALSE
"43","Absent","1:3",1,0.41290029029733,"aleg",FALSE
"44","Present","1:3",3,0.506083521990149,"aleg",FALSE
"45","Absent","1:3",1,0.482095343553738,"aleg",FALSE
"46","Absent","1:3",1,0.447290658285056,"aleg",FALSE
"47","Absent","1:3",1,0.322047863497573,"aleg",FALSE
"48","Present","1:3",3,0.372627840941277,"aleg",FALSE
"49","Absent","1:3",1,0.577982045027966,"aleg",FALSE
"50","Absent","1:3",1,0.44985147612897,"aleg",FALSE
"51","Absent","1:3",1,0.356249671693149,"aleg",FALSE
"52","Present","1:3",3,0.481801186666416,"aleg",FALSE
"53","Absent","1:3",1,0.479123877448728,"aleg",FALSE
"54","Absent","1:3",1,0.337474888267025,"aleg",FALSE
"55","Absent","1:3",1,0.367080568899837,"aleg",FALSE
"56","Absent","1:3",1,0.33746647132466,"aleg",FALSE
"57","Absent","1:3",1,0.366696945824515,"aleg",FALSE
"58","Absent","1:3",1,0.366649293680894,"aleg",FALSE
"59","Absent","1:3",1,0.329453223341261,"aleg",FALSE
"60","Present","1:3",3,0.388081981120195,"aleg",FALSE
"61","Present","1:3",1,0.388084947160678,"aleg",TRUE
"62","Absent","1:3",1,0.484033443048247,"aleg",FALSE
"63","Absent","1:3",1,0.406768065242431,"aleg",FALSE
"64","Absent","1:3",1,0.395714282611152,"aleg",FALSE
"65","Absent","1:3",1,0.37732136669365,"aleg",FALSE
"66","Present","1:3",3,0.499886295894612,"aleg",FALSE
"67","Absent","1:3",1,0.393138352616006,"aleg",FALSE
"68","Absent","1:3",1,0.302313330688776,"aleg",FALSE
"69","Absent","1:3",1,0.345042688692047,"aleg",FALSE
"70","Absent","1:3",1,0.347743842779892,"aleg",FALSE
"71","Present","1:3",3,0.496969090681887,"aleg",FALSE
"72","Absent","1:3",1,0.446172723779455,"aleg",FALSE
"73","Absent","1:3",1,0.406060831628565,"aleg",FALSE
"74","Absent","1:3",1,0.405892887516529,"aleg",FALSE
"75","Absent","1:3",1,0.35551323252912,"aleg",FALSE
"76","Present","1:3",3,0.491239886388939,"aleg",FALSE
"77","Absent","1:3",1,0.654135476797819,"aleg",FALSE
