StudNo;Correct Items;Incorrect Items;Hit;Correct Rejection;HR;FA;D';Bias
1;10;10; 9 ; 9 ; 0.90 ;0.1; 2.56 ;5.55112E-16
2;10;10;10;10; 1.00 ;0; 7.44 ;-1.42109E-14
3;10;10;9;7; 0.90 ;0.3; 1.81 ;-0.378434522
4;10;10;8;7; 0.80 ;0.3; 1.37 ;-0.158575586
5;10;10;9;10; 0.90 ;0; 5.00 ;1.219017259
6;10;10;8;9; 0.80 ;0.1; 2.12 ;0.219858936
7;10;10;9;9; 0.90 ;0.1; 2.56 ;5.55112E-16
8;10;10;10;9; 1.00 ;0.1; 5.00 ;-1.219017259
9;10;10;5;6; 0.50 ;0.4; 0.25 ;0.126669468
10;10;10;5;5; 0.50 ;0.5;-0.00 ;0
11;10;10;7;7; 0.70 ;0.3; 1.05 ;5.55112E-17
12;10;10;7;7; 0.70 ;0.3; 1.05 ;5.55112E-17
13;10;10;9;9; 0.90 ;0.1; 2.56 ;5.55112E-16
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
